latitude,longitude,brightness,acq_date,acq_time,daynight,type
42.4379,130.5484,318.8,2024-01-17,442,D,0
38.2533,124.8853,313.3,2024-02-14,221,D,0
42.8569,130.241,302.3,2024-02-16,404,D,0
42.8649,130.1976,311.0,2024-02-22,111,D,0
42.8666,130.1741,312.2,2024-02-22,111,D,0
42.7862,130.1455,304.4,2024-02-22,455,D,0
42.7901,130.1068,317.2,2024-02-22,455,D,0
42.8235,130.1418,311.4,2024-02-22,455,D,0
42.8923,130.1747,309.5,2024-02-22,455,D,0
42.7884,130.0945,315.4,2024-02-22,455,D,0
42.8447,130.1508,307.8,2024-02-23,151,D,0
42.8357,130.148,325.0,2024-02-23,151,D,0
42.8336,130.1608,314.6,2024-02-23,151,D,0
42.7547,130.131,318.5,2024-02-23,151,D,0
42.7526,130.1438,320.1,2024-02-23,151,D,0
42.7457,130.1281,341.4,2024-02-23,151,D,0
42.7436,130.1409,363.5,2024-02-23,151,D,0
42.1762,130.1347,317.0,2024-02-23,152,D,0
42.1853,130.1376,314.9,2024-02-23,152,D,0
42.1832,130.1503,308.8,2024-02-23,152,D,0
42.1741,130.1475,309.9,2024-02-23,152,D,0
42.7398,130.1224,300.7,2024-02-23,358,D,0
42.7401,130.1157,300.2,2024-02-23,536,D,0
42.7332,130.1334,301.8,2024-02-24,439,D,0
42.5182,130.5011,307.0,2024-02-26,215,D,0
42.5123,130.5271,338.3,2024-02-26,215,D,0
42.5121,130.5216,342.1,2024-02-26,215,D,0
42.4877,130.5112,303.3,2024-02-26,215,D,0
42.189,130.1495,302.3,2024-02-26,215,D,0
42.2011,130.1544,304.3,2024-02-26,215,D,0
42.5033,130.5293,328.9,2024-02-26,423,D,0
42.4992,130.5096,365.2,2024-02-26,423,D,0
42.4964,130.4966,332.1,2024-02-26,423,D,0
42.5005,130.5162,381.3,2024-02-26,423,D,0
42.4856,130.5014,303.8,2024-02-26,423,D,0
42.4744,130.5049,301.0,2024-02-26,423,D,0
41.9344,129.874,310.0,2024-03-01,141,D,0
39.1052,125.6639,301.3,2024-03-03,513,D,0
37.9158,125.0888,304.8,2024-03-06,148,D,0
38.0791,125.8948,306.6,2024-03-06,148,D,0
38.0806,125.8832,313.8,2024-03-06,148,D,0
39.0586,125.7957,307.1,2024-03-06,148,D,2
39.0677,125.7976,301.1,2024-03-06,148,D,2
42.0476,128.9669,300.9,2024-03-10,113,D,0
38.1606,124.7985,301.7,2024-03-10,506,D,0
38.215,126.1404,310.9,2024-03-10,506,D,0
40.2902,127.7002,326.5,2024-03-10,507,D,0
40.299,127.6979,309.8,2024-03-10,507,D,0
40.2918,127.7119,312.0,2024-03-10,507,D,0
39.4403,126.0232,303.0,2024-03-10,507,D,2
38.4179,124.9901,303.1,2024-03-10,507,D,0
42.7767,130.176,307.0,2024-03-10,508,D,0
42.6129,129.7612,317.5,2024-03-12,452,D,0
42.1191,129.956,310.0,2024-03-13,136,D,0
42.1208,129.9438,316.6,2024-03-13,136,D,0
38.2372,126.1214,300.9,2024-03-13,137,D,0
39.4454,126.0254,300.1,2024-03-13,137,D,2
38.1303,126.0126,303.7,2024-03-13,532,D,0
38.887,125.4963,301.0,2024-03-13,532,D,0
38.8704,127.8779,304.3,2024-03-14,218,D,0
38.5336,126.3381,305.9,2024-03-14,218,D,0
38.5198,126.2965,316.4,2024-03-14,435,D,0
38.5263,126.3243,317.1,2024-03-14,435,D,0
42.7233,130.0989,333.3,2024-03-14,436,D,0
42.726,130.1133,343.3,2024-03-14,436,D,0
42.7163,130.1163,314.2,2024-03-14,436,D,0
42.2831,130.0792,341.6,2024-03-15,119,D,0
42.2815,130.096,325.7,2024-03-15,119,D,0
42.2724,130.0765,370.1,2024-03-15,119,D,0
42.2708,130.0938,324.8,2024-03-15,119,D,0
42.2691,130.0691,342.2,2024-03-15,119,D,0
42.2674,130.0864,332.0,2024-03-15,119,D,0
41.7814,129.4791,344.7,2024-03-15,119,D,0
41.7795,129.5005,343.5,2024-03-15,119,D,0
41.7705,129.4763,362.8,2024-03-15,119,D,0
41.7686,129.4977,388.0,2024-03-15,119,D,0
41.7806,129.4711,328.5,2024-03-15,119,D,0
41.7785,129.4926,349.1,2024-03-15,119,D,0
41.7767,129.5119,316.3,2024-03-15,119,D,0
41.7696,129.469,321.9,2024-03-15,119,D,0
41.7677,129.4894,388.6,2024-03-15,119,D,0
41.7657,129.5099,334.9,2024-03-15,119,D,0
39.8429,124.2345,303.5,2024-03-15,120,D,0
38.5006,126.3575,321.3,2024-03-15,516,D,0
41.3051,129.5315,315.5,2024-03-15,516,D,0
