latitude,longitude,brightness,acq_date,acq_time,daynight,type
35.3142,33.747,331.1,2024-06-05,1209,D,0
35.2702,33.4486,337.2,2024-06-30,759,D,0
35.2195,33.8202,310.9,2024-07-03,30,N,0
35.3321,33.4448,325.6,2024-07-22,801,D,0
35.3303,33.4562,325.9,2024-07-22,801,D,0
35.273,33.2083,336.0,2024-07-29,1108,D,0
35.17861,33.54514,321.22,2024-10-20,739,D,99
35.18008,33.53374,313.39,2024-10-20,739,D,99
35.24065,33.46159,312.98,2024-10-30,746,D,99
35.13822,33.60161,310.63,2024-11-01,729,D,99
35.1308,32.89206,311.83,2024-11-07,811,D,99
35.12952,32.89754,311.57,2024-11-07,811,D,99
