latitude,longitude,brightness,acq_date,acq_time,daynight,type
-8.9571,141.3448,340.0,2024-01-01,453,D,0
-8.9552,141.357,318.9,2024-01-01,453,D,0
-8.9674,141.3465,333.5,2024-01-01,453,D,0
-9.1222,141.9246,318.0,2024-01-01,453,D,0
-6.2293,155.566,311.6,2024-01-01,2339,D,2
-5.9373,147.0596,318.0,2024-01-02,357,D,0
-7.0817,146.9245,310.3,2024-01-02,357,D,0
-8.0133,147.6585,311.4,2024-01-02,357,D,0
-6.1764,145.5871,315.8,2024-01-03,19,D,0
-5.5035,145.9055,314.2,2024-01-03,19,D,0
-8.7471,142.2162,315.1,2024-01-03,20,D,0
-3.8735,141.8147,311.3,2024-01-03,439,D,0
-5.51,143.5295,310.0,2024-01-03,439,D,0
-3.9099,143.0692,372.0,2024-01-03,439,D,0
-3.9115,143.0587,320.2,2024-01-03,439,D,0
-3.9019,143.0573,326.8,2024-01-03,439,D,0
-3.8615,143.0339,314.3,2024-01-03,439,D,0
-3.8749,141.8054,311.9,2024-01-03,439,D,0
-8.0908,147.4411,314.0,2024-01-04,341,D,0
-8.0931,147.4229,312.2,2024-01-04,341,D,0
-4.0997,145.0645,319.3,2024-01-05,2,D,1
-5.9089,142.759,303.8,2024-01-05,423,D,0
-5.1126,141.51,310.2,2024-01-05,423,D,0
-3.4759,143.3627,312.1,2024-01-05,424,D,0
-3.8825,142.0549,316.5,2024-01-05,424,D,0
-3.8935,142.0459,326.0,2024-01-05,424,D,0
-3.9002,143.427,331.4,2024-01-05,424,D,0
-3.8921,142.0563,345.3,2024-01-05,424,D,0
-3.9093,143.4283,323.9,2024-01-05,424,D,0
-4.0967,145.0617,314.4,2024-01-05,424,D,1
-4.0601,145.0598,314.1,2024-01-05,424,D,1
-9.1134,141.3085,314.7,2024-01-06,44,D,0
-8.8914,141.0077,312.7,2024-01-06,504,D,0
-3.9503,143.1819,384.6,2024-01-08,449,D,0
-3.9606,143.209,323.2,2024-01-08,449,D,0
-3.9513,143.1913,353.1,2024-01-08,449,D,0
-3.9629,143.1931,341.8,2024-01-08,449,D,0
-3.9595,143.1995,340.4,2024-01-08,449,D,0
-3.9396,143.1895,347.5,2024-01-08,449,D,0
-6.1356,155.1974,301.2,2024-01-08,1534,N,1
-4.0967,145.0629,314.8,2024-01-10,9,D,1
-4.0954,145.0543,312.9,2024-01-10,9,D,1
-8.42,151.0964,311.9,2024-01-11,336,D,0
-8.1711,148.0103,313.8,2024-01-12,417,D,0
-6.9904,146.6291,317.3,2024-01-12,418,D,0
-3.933,142.1109,325.6,2024-01-12,419,D,0
-3.8594,142.9874,313.7,2024-01-12,419,D,0
-4.0851,143.4071,311.1,2024-01-12,419,D,0
-4.0892,143.4026,310.7,2024-01-12,419,D,0
-5.5022,145.9003,312.3,2024-01-14,403,D,0
-6.3446,147.7896,330.3,2024-01-16,347,D,0
-6.3853,144.1485,309.1,2024-01-25,29,D,0
-6.3956,144.1472,305.7,2024-01-25,29,D,0
-9.9892,147.8789,322.9,2024-01-26,406,D,0
-3.6108,144.5927,311.3,2024-01-27,11,D,3
-9.9913,147.8352,324.7,2024-01-31,416,D,0
-9.99,147.8442,319.9,2024-01-31,416,D,0
-9.752,147.7719,329.3,2024-01-31,417,D,0
-3.8996,142.0428,335.5,2024-01-31,418,D,0
-3.9122,142.031,324.4,2024-01-31,418,D,0
-3.9735,143.5499,326.7,2024-01-31,418,D,0
-3.972,143.5606,314.6,2024-01-31,418,D,0
-3.9833,143.5513,312.5,2024-01-31,418,D,0
-5.9392,147.0642,317.2,2024-01-31,418,D,0
-9.9453,147.9539,312.6,2024-02-01,19,D,0
-9.94,147.9611,312.3,2024-02-01,19,D,0
-10.6215,150.3727,314.8,2024-02-02,401,D,0
-10.6229,150.3632,321.1,2024-02-02,401,D,0
-4.5602,144.194,317.0,2024-02-02,402,D,0
-9.856,147.8879,321.2,2024-02-03,2,D,0
-3.8363,142.256,333.0,2024-02-03,444,D,0
-3.755,141.8047,317.4,2024-02-04,41,D,0
-10.0134,147.7683,307.8,2024-02-05,1200,N,0
-7.7104,147.0215,325.0,2024-02-07,411,D,0
-7.7026,147.0106,342.8,2024-02-07,411,D,0
-7.7118,147.0117,341.4,2024-02-07,411,D,0
-7.9958,147.0261,314.2,2024-02-07,411,D,0
-7.9944,147.0359,339.6,2024-02-07,411,D,0
-8.0035,147.0376,316.6,2024-02-07,411,D,0
-9.9527,147.9552,318.6,2024-02-07,411,D,0
-10.0142,147.9135,319.9,2024-02-07,411,D,0
-9.9681,148.4324,315.8,2024-02-07,411,D,0
-10.09,148.0252,316.5,2024-02-07,411,D,0
-10.0887,148.0345,316.3,2024-02-07,411,D,0
-10.0977,148.0358,325.6,2024-02-07,411,D,0
-7.1967,146.1749,316.4,2024-02-07,412,D,0
-6.9685,146.6989,312.3,2024-02-08,7,D,0
-6.9673,146.69,317.7,2024-02-08,7,D,0
-5.4425,142.5235,311.9,2024-02-10,438,D,0
-6.4468,146.3961,323.0,2024-02-12,422,D,0
-4.322,143.6912,319.7,2024-02-12,422,D,0
-6.6502,145.9402,322.4,2024-02-12,422,D,0
-6.6521,146.4391,318.8,2024-02-12,422,D,0
-6.5455,146.4715,315.7,2024-02-12,422,D,0
-4.0346,141.321,311.6,2024-02-12,423,D,0
-3.676,142.0432,311.7,2024-02-13,504,D,0
-7.8293,146.9444,300.4,2024-02-13,1230,N,0
-7.8253,146.9453,304.2,2024-02-13,1549,N,0
-9.6555,148.6372,319.5,2024-02-14,405,D,0
-7.619,146.9599,309.6,2024-02-14,406,D,0
-7.7036,147.0093,319.2,2024-02-14,406,D,0
-7.8093,146.987,312.8,2024-02-14,406,D,0
-7.4071,146.7922,318.3,2024-02-14,406,D,0
-7.599,146.9573,312.8,2024-02-14,406,D,0
-4.365,143.0718,331.4,2024-02-15,448,D,0
-6.7354,147.3289,314.9,2024-02-16,350,D,0
-6.7325,147.3337,313.1,2024-02-16,350,D,0
-6.0825,146.0107,310.1,2024-02-17,432,D,0
-5.2534,142.5675,314.5,2024-02-17,432,D,0
-5.2521,142.5767,318.5,2024-02-17,432,D,0
-6.1454,146.2671,304.2,2024-02-18,20,D,0
-6.5716,146.3837,311.9,2024-02-18,20,D,0
-4.652,144.2029,313.1,2024-02-19,416,D,0
-5.1239,144.1203,320.9,2024-02-19,416,D,0
-4.6535,144.1919,316.1,2024-02-19,416,D,0
-8.0413,141.6326,319.8,2024-02-22,441,D,0
-6.386,142.4566,309.6,2024-02-28,33,D,0
-6.9021,146.3784,311.8,2024-03-02,419,D,0
-4.3285,142.7962,311.2,2024-03-02,420,D,0
-3.9005,142.6427,314.2,2024-03-02,420,D,0
-6.3294,147.7937,317.7,2024-03-09,413,D,0
-6.4341,147.8396,316.2,2024-03-09,413,D,0
-6.6282,147.8341,319.4,2024-03-09,413,D,0
-6.6269,147.8431,313.0,2024-03-09,413,D,0
-6.6782,147.8044,315.1,2024-03-09,413,D,0
-6.135,155.1982,302.9,2024-03-10,1539,N,1
-6.6326,147.8315,314.9,2024-03-11,357,D,0
-9.8226,147.6861,312.7,2024-03-16,405,D,0
-9.9194,147.9489,312.4,2024-03-16,405,D,0
-7.1148,146.0885,345.6,2024-03-19,431,D,0
-6.0442,146.788,311.4,2024-03-25,6,D,0
-7.4095,146.8004,312.5,2024-03-25,6,D,0
-8.7844,148.3234,314.9,2024-03-26,424,D,0
-6.6791,147.7923,316.6,2024-03-26,424,D,0
-9.9554,147.6449,314.9,2024-03-26,424,D,0
-5.3801,144.2309,313.8,2024-03-26,425,D,0
-6.3005,147.3518,318.3,2024-03-26,425,D,0
-6.2926,147.344,313.7,2024-03-26,425,D,0
-6.294,147.3346,312.8,2024-03-26,425,D,0
-6.0886,145.9036,314.5,2024-03-26,425,D,0
-5.9137,145.8385,318.7,2024-03-26,425,D,0
-5.7393,144.5555,309.8,2024-03-26,425,D,0
-5.5378,144.1659,316.5,2024-03-26,425,D,0
-5.3814,144.2215,314.0,2024-03-26,425,D,0
