latitude,longitude,brightness,acq_date,acq_time,daynight,type
-4.8621,-80.8752,324.6,2024-01-01,1525,D,2
-4.9272,-80.3472,312.2,2024-01-01,1525,D,2
-4.8612,-80.8147,330.8,2024-01-01,1525,D,0
-4.8598,-80.8246,322.7,2024-01-01,1525,D,0
-5.0971,-80.1665,310.2,2024-01-01,1525,D,2
-16.3615,-71.3586,332.9,2024-01-02,1430,D,0
-7.6404,-79.2612,328.1,2024-01-03,1927,D,0
-17.4913,-71.3494,328.9,2024-01-05,1454,D,2
-7.7621,-79.3667,336.7,2024-01-05,1912,D,0
-6.3683,-79.9206,312.4,2024-01-05,1912,D,0
-5.7867,-78.6123,314.7,2024-01-05,1912,D,0
-15.7847,-71.8556,300.9,2024-01-07,642,N,1
-8.6624,-74.9346,312.3,2024-01-07,1856,D,0
-9.3076,-74.3508,317.5,2024-01-07,1856,D,0
-6.5482,-76.2703,320.8,2024-01-07,1856,D,0
-7.0156,-76.3236,325.5,2024-01-07,1856,D,0
-7.014,-76.3124,340.7,2024-01-07,1856,D,0
-7.1726,-76.3547,322.9,2024-01-07,1856,D,0
-5.0802,-73.8266,314.3,2024-01-07,1857,D,0
-5.0789,-73.8177,323.3,2024-01-07,1857,D,0
-5.8913,-79.8195,334.6,2024-01-08,1515,D,0
-7.8122,-79.3383,328.4,2024-01-08,1937,D,0
-6.4185,-79.7892,328.5,2024-01-08,1938,D,0
-17.4913,-71.3564,302.8,2024-01-09,627,N,2
-14.798,-71.4102,311.9,2024-01-09,1419,D,2
-12.7007,-69.1804,330.6,2024-01-09,1839,D,0
-12.8775,-69.7164,311.0,2024-01-09,1839,D,0
-12.9295,-69.7737,327.4,2024-01-09,1839,D,0
-12.6642,-69.0518,308.3,2024-01-09,1839,D,0
-12.6994,-69.171,313.9,2024-01-09,1839,D,0
-10.0356,-73.8271,314.6,2024-01-09,1840,D,0
-10.0335,-73.8111,330.2,2024-01-09,1840,D,0
-10.5948,-73.6341,333.9,2024-01-09,1840,D,0
-10.5937,-73.6436,317.0,2024-01-09,1840,D,0
-10.5917,-73.6275,323.4,2024-01-09,1840,D,0
-8.5179,-74.9974,310.6,2024-01-09,1840,D,0
-8.5155,-74.9788,330.7,2024-01-09,1840,D,0
-8.5703,-75.1047,310.2,2024-01-09,1840,D,0
-7.1903,-75.1341,312.7,2024-01-09,1841,D,0
-7.4884,-74.9061,326.6,2024-01-09,1841,D,0
-8.0504,-75.1076,309.2,2024-01-09,1841,D,0
-8.0737,-74.9,311.4,2024-01-09,1841,D,0
-8.1462,-75.1462,313.1,2024-01-09,1841,D,0
-4.3081,-71.0831,309.2,2024-01-09,1841,D,0
-7.4908,-74.924,316.2,2024-01-09,1841,D,0
-13.8448,-76.4557,318.4,2024-01-10,1500,D,3
-7.1234,-76.3894,323.6,2024-01-10,1922,D,0
-17.4956,-71.3526,301.3,2024-01-11,311,N,2
-8.3055,-74.836,300.5,2024-01-11,314,N,0
-17.888,-70.5586,330.3,2024-01-11,1822,D,2
-17.88,-70.5521,329.9,2024-01-11,1822,D,0
-8.2136,-75.175,312.3,2024-01-11,1825,D,0
-8.2184,-75.2138,314.3,2024-01-11,1825,D,0
-8.2154,-75.3339,310.3,2024-01-11,1825,D,0
-8.2201,-75.373,313.0,2024-01-11,1825,D,0
-8.2334,-75.2158,318.4,2024-01-11,1825,D,0
-8.2113,-75.1793,311.5,2024-01-11,1825,D,0
-8.2141,-75.3379,312.2,2024-01-11,1825,D,0
-8.219,-75.3767,311.4,2024-01-11,1825,D,0
-8.1648,-75.2246,311.2,2024-01-11,1825,D,0
-11.8427,-72.9466,310.1,2024-01-12,1442,D,0
-9.2421,-78.4186,330.6,2024-01-12,1442,D,0
-13.6592,-73.3835,311.1,2024-01-12,1443,D,2
-9.406,-74.1781,314.0,2024-01-12,1906,D,0
-8.1954,-75.1674,339.0,2024-01-12,1906,D,0
-10.9281,-74.8785,315.9,2024-01-12,1906,D,2
-8.5658,-75.2431,302.7,2024-01-12,1906,D,0
-8.5138,-74.9485,313.5,2024-01-12,1906,D,0
-8.2656,-76.5431,313.7,2024-01-12,1906,D,0
-6.8093,-76.4717,313.4,2024-01-12,1907,D,0
-6.4785,-76.9896,319.7,2024-01-12,1907,D,0
-6.808,-76.4627,312.5,2024-01-12,1907,D,0
-7.1316,-76.152,326.8,2024-01-12,1907,D,0
-7.2107,-76.3185,309.7,2024-01-12,1907,D,0
-6.0477,-76.239,313.1,2024-01-12,1907,D,0
-6.3015,-76.72,311.9,2024-01-12,1907,D,0
-6.2368,-76.2719,319.7,2024-01-12,1907,D,0
-6.84,-76.1133,305.4,2024-01-12,1907,D,0
-6.0453,-76.2849,314.4,2024-01-12,1907,D,0
-6.8387,-76.1043,306.2,2024-01-12,1907,D,0
-5.7309,-77.2386,314.9,2024-01-12,1907,D,0
-5.6666,-76.657,316.1,2024-01-12,1907,D,0
-5.8927,-79.8207,320.3,2024-01-13,1521,D,0
-7.5991,-76.3886,313.3,2024-01-13,1521,D,0
-6.5742,-79.7916,316.5,2024-01-13,1521,D,0
-6.4925,-76.3626,317.6,2024-01-13,1521,D,2
-4.9326,-80.3438,314.1,2024-01-13,1521,D,2
-4.8652,-80.628,328.8,2024-01-13,1521,D,0
-4.8638,-80.6373,323.4,2024-01-13,1521,D,0
-10.9262,-74.8779,308.2,2024-01-13,1522,D,2
-10.806,-71.7942,303.6,2024-01-15,1505,D,0
-8.928,-78.5245,331.6,2024-01-15,1932,D,0
-7.3833,-79.4082,334.8,2024-01-15,1932,D,0
-5.6856,-80.007,313.6,2024-01-16,1545,D,0
-11.0655,-75.3382,316.5,2024-01-17,1916,D,2
-6.7343,-79.8057,327.9,2024-01-17,1917,D,0
-6.7676,-79.5422,326.9,2024-01-18,1528,D,0
-14.2789,-71.2297,301.4,2024-01-19,1432,D,2
-13.642,-72.8887,315.5,2024-01-19,1900,D,2
-10.9259,-74.8822,316.1,2024-01-19,1900,D,2
-11.0618,-75.3312,315.6,2024-01-19,1900,D,2
-8.9431,-78.5442,332.1,2024-01-19,1901,D,0
-3.7613,-73.2483,310.4,2024-01-19,1902,D,2
-6.3909,-79.8936,327.6,2024-01-19,1902,D,0
-6.3852,-79.8877,330.9,2024-01-19,1902,D,0
-7.3451,-79.4467,316.9,2024-01-20,1511,D,2
-7.8042,-79.3247,323.1,2024-01-20,1511,D,0
-7.1991,-79.4959,317.2,2024-01-20,1511,D,0
-7.2004,-79.4869,330.9,2024-01-20,1511,D,0
-7.8195,-79.2038,325.2,2024-01-20,1943,D,0
-13.8021,-76.033,305.6,2024-01-21,325,N,0
-17.4986,-71.3495,325.6,2024-01-21,1416,D,2
-12.5852,-69.2058,315.6,2024-01-21,1844,D,2
