latitude,longitude,brightness,acq_date,acq_time,daynight,type
35.0923,128.859,300.1,2024-01-03,450,D,2
36.9915,126.7026,303.8,2024-01-05,1814,N,2
36.9831,126.7087,304.3,2024-01-06,516,D,2
36.9816,126.6966,306.3,2024-01-06,516,D,2
36.9832,126.7112,306.6,2024-01-15,143,D,2
36.9836,126.7018,307.8,2024-01-15,456,D,2
36.9806,126.7078,305.7,2024-01-15,456,D,2
36.9846,126.7022,301.4,2024-01-25,156,D,2
36.9805,126.7014,306.0,2024-01-27,139,D,2
36.9846,126.6927,303.0,2024-01-27,501,D,2
36.9854,126.7091,301.1,2024-01-30,202,D,2
36.9838,126.698,318.2,2024-02-08,505,D,2
36.9858,126.706,300.6,2024-02-09,1317,N,2
35.2415,128.1537,300.1,2024-02-10,449,D,0
35.5572,128.0327,305.1,2024-02-11,158,D,0
36.9881,126.7073,308.3,2024-02-13,141,D,2
35.5784,126.7222,300.5,2024-02-13,515,D,0
37.0243,128.3183,300.1,2024-02-13,515,D,2
36.9848,126.6981,310.5,2024-02-13,515,D,2
36.986,126.7132,306.1,2024-02-16,204,D,2
34.746,126.1543,316.8,2024-02-16,204,D,0
34.7482,126.1416,314.9,2024-02-16,204,D,0
34.9525,126.3264,313.2,2024-02-16,204,D,0
36.6925,126.5095,301.7,2024-02-16,204,D,0
35.7963,128.4252,302.6,2024-02-17,443,D,0
36.6417,127.358,303.1,2024-02-17,444,D,0
37.4801,129.0564,300.5,2024-02-17,444,D,2
36.1875,127.0307,300.4,2024-02-17,444,D,0
36.2397,126.87,304.0,2024-02-17,444,D,0
36.2466,126.8608,302.8,2024-02-17,444,D,0
36.6432,127.3625,303.0,2024-02-17,444,D,0
34.7545,126.5118,304.2,2024-02-27,502,D,0
35.1257,126.7672,301.2,2024-02-28,200,D,2
35.1317,126.7617,303.9,2024-02-28,200,D,0
38.1273,127.2848,301.2,2024-03-04,205,D,0
36.9657,127.1701,301.8,2024-03-04,206,D,0
35.1612,127.9448,302.1,2024-03-04,206,D,0
35.2464,128.1575,303.3,2024-03-06,149,D,0
36.0044,129.3837,305.2,2024-03-08,132,D,2
36.9894,126.6984,308.6,2024-03-08,132,D,2
36.0029,129.3952,302.4,2024-03-08,132,D,2
35.0974,128.8611,301.6,2024-03-08,132,D,2
36.9813,126.6914,306.3,2024-03-08,522,D,2
36.9828,126.7039,311.0,2024-03-08,522,D,2
36.9886,126.7026,314.1,2024-03-09,212,D,2
36.9854,126.7196,300.3,2024-03-09,212,D,2
36.9846,126.7079,300.2,2024-03-10,114,D,2
36.9827,126.7364,300.4,2024-03-10,114,D,2
34.9221,127.7306,307.3,2024-03-10,505,D,2
34.7611,127.0581,301.2,2024-03-10,505,D,0
34.8487,126.5655,306.2,2024-03-10,506,D,0
34.8506,126.577,303.5,2024-03-10,506,D,0
35.5359,127.3312,308.5,2024-03-10,506,D,0
35.9785,126.9009,311.3,2024-03-10,506,D,0
36.9291,127.5362,305.7,2024-03-10,506,D,0
37.2095,127.4978,306.0,2024-03-10,506,D,0
35.1579,127.9442,309.5,2024-03-10,506,D,0
37.3495,127.6292,300.2,2024-03-10,506,D,0
36.9835,126.6946,307.5,2024-03-11,1257,N,2
36.9852,126.7057,304.1,2024-03-11,1257,N,2
37.4837,129.0503,302.6,2024-03-13,138,D,2
35.2475,128.1509,302.0,2024-03-13,138,D,0
36.1819,127.1317,300.6,2024-03-14,218,D,0
36.9881,126.705,303.1,2024-03-14,1813,N,2
37.4851,129.0545,304.5,2024-03-15,120,D,2
36.986,126.7003,305.9,2024-03-15,121,D,2
