latitude,longitude,brightness,acq_date,acq_time,daynight,type
34.5797,40.9175,309.7,2024-01-07,748,D,0
36.0574,38.995,303.6,2024-01-24,1110,D,0
35.4774,40.0071,304.7,2024-02-09,1043,D,0
35.9113,39.2492,328.4,2024-02-09,1043,D,0
35.9106,39.2593,320.5,2024-02-09,1043,D,0
35.9079,39.2448,317.9,2024-02-09,1043,D,0
35.9976,37.9228,305.3,2024-02-12,1108,D,0
36.3655,37.2109,300.4,2024-02-22,1128,D,0
36.734,41.7069,303.8,2024-02-25,1015,D,0
36.728,41.6801,308.2,2024-02-25,1015,D,0
36.7281,41.7046,306.3,2024-02-25,1015,D,0
36.722,41.6779,304.5,2024-02-25,1015,D,0
35.8304,37.8465,303.0,2024-02-26,1056,D,0
35.8394,38.0708,304.6,2024-02-26,1056,D,0
33.3973,36.16,301.0,2024-02-27,755,D,0
35.786,38.2377,313.4,2024-02-29,1122,D,0
35.8187,37.9192,306.2,2024-03-01,1025,D,0
35.8621,37.7052,309.2,2024-03-01,1025,D,0
35.8584,37.7023,311.1,2024-03-01,1025,D,0
36.9411,42.1711,300.3,2024-03-02,719,D,2
36.078,37.7019,315.7,2024-03-02,1106,D,0
36.0797,37.7128,308.4,2024-03-02,1106,D,0
35.836,37.821,317.7,2024-03-02,1106,D,0
34.8636,36.6783,305.9,2024-03-02,1106,D,0
35.9365,39.3679,316.6,2024-03-02,1106,D,0
35.8896,38.6983,314.2,2024-03-02,1106,D,0
35.8881,38.6874,329.0,2024-03-02,1106,D,0
35.9401,38.7942,310.2,2024-03-02,1106,D,0
35.8376,37.8318,309.6,2024-03-02,1106,D,0
35.8502,38.0651,310.2,2024-03-03,800,D,0
35.8504,37.9475,303.4,2024-03-03,800,D,0
35.8477,38.0793,319.1,2024-03-03,800,D,0
36.9351,42.125,306.6,2024-03-04,1050,D,0
35.779,38.2283,307.6,2024-03-04,1050,D,0
35.7804,38.2332,306.7,2024-03-04,1050,D,0
36.6494,39.2346,304.5,2024-03-04,1050,D,0
34.7112,36.6356,302.4,2024-03-05,743,D,2
35.9692,38.7352,308.3,2024-03-07,1115,D,0
36.5327,39.035,327.1,2024-03-07,1115,D,0
36.5311,39.0217,308.7,2024-03-07,1115,D,0
35.8477,38.0665,319.3,2024-03-09,1059,D,0
36.0646,37.7018,357.4,2024-03-30,814,D,0
36.0588,37.7172,335.9,2024-03-30,814,D,0
36.0634,37.6948,344.3,2024-03-30,814,D,0
36.0599,37.7241,323.6,2024-03-30,814,D,0
36.9291,42.0974,316.1,2024-03-31,716,D,0
36.4991,36.619,315.0,2024-04-04,1048,D,0
36.503,36.6381,325.0,2024-04-04,1048,D,0
36.5019,36.6253,325.5,2024-04-04,1048,D,0
36.5057,36.6442,315.9,2024-04-04,1048,D,0
35.8154,39.3861,311.1,2024-04-06,803,D,0
36.0493,38.025,315.0,2024-04-12,1122,D,0
34.6044,37.8974,301.4,2024-04-14,1933,N,0
35.293,39.3398,326.8,2024-04-16,1049,D,0
34.715,36.6335,323.0,2024-04-17,1130,D,2
34.6097,37.906,302.5,2024-04-20,2357,N,0
35.2241,38.0182,328.1,2024-04-23,1042,D,0
35.2208,38.0264,328.0,2024-04-23,1042,D,0
35.2908,37.8662,344.9,2024-04-25,746,D,0
35.2802,37.8752,333.1,2024-04-25,746,D,0
35.2698,37.8783,331.9,2024-04-25,746,D,0
35.2819,37.8641,348.8,2024-04-25,746,D,0
35.2325,37.8787,305.3,2024-04-25,1848,N,0
35.2307,37.8673,311.6,2024-04-25,1848,N,0
35.2398,37.8651,305.6,2024-04-25,1848,N,0
35.229,37.7961,302.3,2024-04-25,1848,N,0
35.2272,37.7846,306.3,2024-04-25,1848,N,0
35.2417,37.862,300.4,2024-04-26,5,N,0
35.1928,37.8275,327.7,2024-04-27,729,D,0
35.1913,37.8402,343.2,2024-04-27,729,D,0
35.1821,37.8502,302.5,2024-04-27,1830,N,0
35.1803,37.868,301.1,2024-04-27,2349,N,0
34.9326,37.8668,312.0,2024-04-27,2349,N,0
34.9265,37.841,308.9,2024-04-27,2349,N,0
34.9249,37.8531,306.9,2024-04-27,2349,N,0
34.9234,37.8651,307.2,2024-04-27,2349,N,0
34.9218,37.8771,304.2,2024-04-27,2349,N,0
36.3247,37.4326,328.5,2024-04-29,1131,D,0
36.3295,37.4388,331.8,2024-04-29,1131,D,0
36.3352,37.4308,322.9,2024-04-29,1131,D,0
35.494,38.2476,335.1,2024-05-01,1115,D,0
33.5795,36.4755,312.5,2024-05-05,758,D,0
36.6955,40.3176,331.9,2024-05-05,1042,D,0
36.6983,40.3326,334.4,2024-05-05,1042,D,0
34.8968,37.9173,319.0,2024-05-07,740,D,0
34.8952,37.9279,331.8,2024-05-07,740,D,0
35.592,36.9139,323.5,2024-05-07,740,D,0
36.493,37.6379,315.2,2024-05-07,1026,D,0
35.584,36.3963,302.4,2024-05-07,1842,N,0
35.5825,36.4069,305.3,2024-05-07,1842,N,0
35.5924,36.4122,314.4,2024-05-08,820,D,0
34.8458,37.9532,337.2,2024-05-08,1106,D,0
35.6309,36.6101,325.5,2024-05-08,1107,D,0
35.5592,36.4132,323.6,2024-05-08,1107,D,0
35.5799,36.4203,337.5,2024-05-08,1107,D,0
35.587,36.4051,347.2,2024-05-08,1107,D,0
35.6517,36.6357,326.5,2024-05-08,1107,D,0
35.6906,36.6383,325.8,2024-05-08,1107,D,0
36.0617,36.8646,331.8,2024-05-08,1107,D,0
36.0708,36.8622,324.4,2024-05-08,1107,D,0
35.5849,36.3924,331.1,2024-05-08,1107,D,0
34.8671,37.936,350.7,2024-05-09,723,D,0
34.8687,37.9215,339.7,2024-05-09,723,D,0
36.8557,40.3017,323.9,2024-05-10,803,D,0
36.4374,38.7983,357.2,2024-05-10,1051,D,0
36.44,38.8127,348.0,2024-05-10,1051,D,0
36.4274,38.8012,348.7,2024-05-10,1051,D,0
36.43,38.8155,347.1,2024-05-10,1051,D,0
