latitude,longitude,brightness,acq_date,acq_time,daynight,type
4.0445,33.8474,318.6,2024-01-01,709,D,0
2.1459,31.616,319.3,2024-01-01,1132,D,0
3.6218,31.4139,317.9,2024-01-01,1132,D,0
3.9736,33.9938,328.7,2024-01-01,1132,D,0
3.5215,32.2704,332.9,2024-01-01,1132,D,0
3.5235,32.2834,323.5,2024-01-01,1132,D,0
3.489,32.1276,327.4,2024-01-01,1132,D,0
3.3556,32.1735,322.6,2024-01-01,1132,D,0
3.2683,32.5612,326.1,2024-01-01,1132,D,0
3.2702,32.5737,322.4,2024-01-01,1132,D,0
2.5961,31.5485,322.6,2024-01-01,1132,D,0
3.4228,31.8176,319.0,2024-01-02,750,D,0
3.4196,31.4026,324.2,2024-01-02,750,D,0
3.7521,31.3315,315.8,2024-01-02,750,D,0
3.7508,31.3404,314.0,2024-01-02,750,D,0
3.7058,31.6512,321.9,2024-01-02,750,D,0
3.648,31.5376,314.7,2024-01-02,750,D,0
3.4241,31.8089,321.3,2024-01-02,750,D,0
1.553,34.393,311.1,2024-01-02,750,D,0
3.225,31.211,313.1,2024-01-02,750,D,0
3.7853,31.288,318.1,2024-01-02,1213,D,0
3.7556,31.1582,319.2,2024-01-02,1213,D,0
3.7497,31.1644,318.0,2024-01-02,1213,D,0
3.676,31.7382,317.5,2024-01-02,1213,D,0
3.6716,31.7261,318.6,2024-01-02,1213,D,0
3.4362,31.4147,320.6,2024-01-02,1213,D,0
3.4292,31.4042,321.8,2024-01-02,1213,D,0
3.4347,31.7021,326.6,2024-01-02,1213,D,0
3.4102,31.8882,321.9,2024-01-02,1213,D,0
3.3978,31.8899,323.4,2024-01-02,1213,D,0
3.3325,31.6342,320.8,2024-01-02,1213,D,0
3.3227,31.8328,321.2,2024-01-02,1213,D,0
3.3252,31.851,322.7,2024-01-02,1213,D,0
3.321,31.8386,325.1,2024-01-02,1213,D,0
3.4047,31.8773,322.4,2024-01-02,1213,D,0
3.4073,31.8957,324.7,2024-01-02,1213,D,0
1.9,34.1371,329.7,2024-01-03,1116,D,0
1.9023,34.15,318.0,2024-01-03,1116,D,0
1.8992,34.1303,323.3,2024-01-03,1116,D,0
2.0675,34.0322,320.1,2024-01-03,1116,D,0
2.4545,34.0777,324.2,2024-01-03,1116,D,0
2.4542,34.0709,325.8,2024-01-03,1116,D,0
2.5484,33.6575,325.0,2024-01-03,1116,D,0
2.5452,33.6366,318.9,2024-01-03,1116,D,0
2.4702,31.7353,312.1,2024-01-03,1116,D,0
2.9512,34.4142,320.1,2024-01-03,1116,D,0
2.4664,31.7285,320.4,2024-01-03,1116,D,0
2.9636,34.4122,322.7,2024-01-03,1116,D,0
2.9342,33.8692,324.6,2024-01-03,1116,D,0
3.0942,32.7415,316.8,2024-01-03,1116,D,0
3.0978,32.736,315.0,2024-01-03,1116,D,0
3.7709,33.8489,316.8,2024-01-03,1117,D,0
3.6284,33.1016,329.8,2024-01-03,1117,D,0
3.6319,33.1241,323.0,2024-01-03,1117,D,0
3.3405,31.9527,318.7,2024-01-03,1117,D,0
3.3449,31.9807,324.1,2024-01-03,1117,D,0
3.5229,33.1935,338.0,2024-01-03,1117,D,0
3.5094,33.1954,339.2,2024-01-03,1117,D,0
3.342,31.9576,322.3,2024-01-03,1117,D,0
3.3462,31.9855,320.3,2024-01-03,1117,D,0
3.5121,33.1777,338.7,2024-01-03,1117,D,0
3.5155,33.1997,345.2,2024-01-03,1117,D,0
3.5969,31.6677,301.7,2024-01-03,1914,N,0
3.5211,33.4323,303.9,2024-01-03,2335,N,0
3.1793,32.3562,330.4,2024-01-04,733,D,0
3.5767,33.1639,321.1,2024-01-04,733,D,0
3.5751,33.1752,338.7,2024-01-04,733,D,0
3.5999,32.8592,312.1,2024-01-04,733,D,0
3.5982,32.871,323.2,2024-01-04,733,D,0
3.6672,31.9124,318.0,2024-01-04,733,D,0
3.4368,33.2869,314.4,2024-01-04,733,D,0
3.3465,33.7143,367.9,2024-01-04,733,D,0
3.3369,33.713,320.8,2024-01-04,733,D,0
3.2516,33.57,314.3,2024-01-04,733,D,0
3.113,34.1966,322.1,2024-01-04,733,D,0
3.1277,34.0266,323.9,2024-01-04,733,D,0
3.8432,33.0903,321.1,2024-01-04,733,D,0
3.8331,33.089,321.9,2024-01-04,733,D,0
3.1037,34.1953,343.9,2024-01-04,733,D,0
3.1558,33.6215,320.3,2024-01-04,733,D,0
3.1513,33.6255,323.0,2024-01-04,733,D,0
3.0913,33.7028,321.5,2024-01-04,733,D,0
2.7062,33.8856,332.3,2024-01-04,733,D,0
2.4892,33.6075,319.0,2024-01-04,733,D,0
2.7796,31.0153,318.2,2024-01-04,733,D,0
2.7831,31.01,319.3,2024-01-04,733,D,0
2.6453,31.6542,313.4,2024-01-04,733,D,0
3.7563,33.56,321.9,2024-01-04,733,D,0
2.1863,31.8271,321.1,2024-01-04,1157,D,0
2.0883,31.8468,320.0,2024-01-04,1157,D,0
2.2744,33.9661,325.7,2024-01-04,1157,D,0
2.2683,33.9598,322.2,2024-01-04,1157,D,0
1.5305,31.8766,317.3,2024-01-04,1157,D,0
1.8196,34.2666,344.1,2024-01-04,1157,D,0
1.8215,34.2797,369.0,2024-01-04,1157,D,0
1.5263,34.3673,325.3,2024-01-04,1157,D,0
2.1535,31.533,326.6,2024-01-04,1157,D,0
1.1383,31.7752,317.0,2024-01-04,1157,D,0
1.5094,34.3629,321.0,2024-01-04,1157,D,0
1.5156,34.3688,335.2,2024-01-04,1157,D,0
2.1548,31.5424,328.0,2024-01-04,1157,D,0
2.1942,31.8162,333.9,2024-01-04,1157,D,0
2.1955,31.8258,326.0,2024-01-04,1157,D,0
2.1849,31.8175,330.0,2024-01-04,1157,D,0
3.6682,31.7519,320.7,2024-01-04,1158,D,0
3.6216,31.4922,323.6,2024-01-04,1158,D,0
3.623,31.5018,337.8,2024-01-04,1158,D,0
3.6579,31.8134,318.8,2024-01-04,1158,D,0
3.6519,31.9063,322.6,2024-01-04,1158,D,0
3.659,31.957,347.1,2024-01-04,1158,D,0
3.5606,31.3267,325.4,2024-01-04,1158,D,0
3.562,31.3361,363.8,2024-01-04,1158,D,0
3.612,31.6905,330.7,2024-01-04,1158,D,0
3.6258,31.7883,326.0,2024-01-04,1158,D,0
3.5541,31.3334,337.2,2024-01-04,1158,D,0
3.5555,31.3428,327.2,2024-01-04,1158,D,0
3.6054,31.6872,348.5,2024-01-04,1158,D,0
3.6196,31.7851,323.9,2024-01-04,1158,D,0
3.621,31.7948,318.9,2024-01-04,1158,D,0
3.5577,31.4879,330.0,2024-01-04,1158,D,0
3.6874,32.3885,317.7,2024-01-04,1158,D,0
3.5485,31.4893,327.4,2024-01-04,1158,D,0
3.5499,31.4988,318.3,2024-01-04,1158,D,0
3.6642,32.2957,326.4,2024-01-04,1158,D,0
3.5668,31.6829,322.5,2024-01-04,1158,D,0
3.5682,31.6925,330.4,2024-01-04,1158,D,0
3.5589,31.6938,322.4,2024-01-04,1158,D,0
3.6317,32.343,365.5,2024-01-04,1158,D,0
3.6332,32.3535,326.7,2024-01-04,1158,D,0
3.5039,31.5056,319.0,2024-01-04,1158,D,0
3.5052,31.5151,328.3,2024-01-04,1158,D,0
3.6221,32.3445,325.4,2024-01-04,1158,D,0
3.5055,31.5836,321.1,2024-01-04,1158,D,0
3.5535,32.0359,351.0,2024-01-04,1158,D,0
3.555,32.046,327.7,2024-01-04,1158,D,0
3.6239,32.5237,321.2,2024-01-04,1158,D,0
3.7402,33.3302,340.1,2024-01-04,1158,D,0
3.5441,32.0373,331.3,2024-01-04,1158,D,0
3.605,32.4612,344.9,2024-01-04,1158,D,0
3.7404,33.4046,352.3,2024-01-04,1158,D,0
3.7421,33.4167,341.9,2024-01-04,1158,D,0
3.7301,33.4061,328.9,2024-01-04,1158,D,0
3.7318,33.4182,336.4,2024-01-04,1158,D,0
3.4994,31.8601,321.5,2024-01-04,1158,D,0
3.5295,32.0703,330.4,2024-01-04,1158,D,0
3.5077,32.0528,326.6,2024-01-04,1158,D,0
3.4868,31.9735,327.7,2024-01-04,1158,D,0
3.6117,32.8604,318.0,2024-01-04,1158,D,0
3.6133,32.8717,321.5,2024-01-04,1158,D,0
