latitude,longitude,brightness,acq_date,acq_time,daynight,type
34.2868,49.6842,300.1,2024-01-01,700,D,0
33.049,51.5021,302.5,2024-01-01,701,D,2
32.4074,51.336,301.9,2024-01-01,701,D,2
32.2443,51.4305,314.8,2024-01-01,701,D,2
32.3501,47.7122,312.5,2024-01-01,701,D,2
32.3515,47.7015,308.8,2024-01-01,701,D,2
32.2351,51.4283,318.9,2024-01-01,701,D,2
31.0816,47.7811,304.9,2024-01-01,1001,D,2
32.4844,47.2032,302.5,2024-01-01,1001,D,2
32.3482,47.6982,308.0,2024-01-01,1001,D,2
32.3541,47.7038,306.1,2024-01-01,1001,D,2
32.9939,46.1848,305.3,2024-01-01,1002,D,2
37.0078,45.7323,304.0,2024-01-01,1003,D,0
37.0121,45.7234,308.4,2024-01-01,1003,D,0
37.0034,45.7112,301.1,2024-01-01,1003,D,0
27.2455,56.1832,303.5,2024-01-01,1759,N,0
27.4983,52.652,305.3,2024-01-01,1759,N,2
27.5453,52.5852,301.2,2024-01-01,1759,N,2
32.2393,51.4281,340.3,2024-01-01,1800,N,2
31.4097,48.6492,300.9,2024-01-01,1800,N,2
31.2742,48.1134,310.1,2024-01-01,1800,N,2
31.0931,47.7838,307.0,2024-01-01,1800,N,2
31.0868,47.7918,307.7,2024-01-01,1800,N,2
31.2087,48.9532,301.5,2024-01-01,1800,N,2
31.001,48.1464,302.3,2024-01-01,1800,N,2
30.7224,49.8198,316.0,2024-01-01,1800,N,2
30.3862,49.8584,313.4,2024-01-01,1800,N,2
30.3928,50.6085,311.6,2024-01-01,1800,N,2
30.395,50.6216,320.3,2024-01-01,1800,N,2
32.3493,47.7,309.7,2024-01-01,1801,N,2
30.3981,50.624,300.5,2024-01-01,2343,N,2
31.0886,47.8017,301.4,2024-01-01,2343,N,2
30.3998,50.6328,303.5,2024-01-01,2343,N,2
31.0431,49.3848,303.4,2024-01-02,741,D,2
31.2704,48.1176,311.8,2024-01-02,741,D,2
30.9051,49.6779,304.4,2024-01-02,741,D,2
31.2073,48.9594,313.6,2024-01-02,741,D,2
31.202,48.9626,310.9,2024-01-02,741,D,2
31.2396,49.0131,305.8,2024-01-02,741,D,2
31.2478,48.9772,305.8,2024-01-02,741,D,2
31.2419,48.9823,308.2,2024-01-02,741,D,2
32.344,47.7115,305.4,2024-01-02,741,D,2
32.3578,47.7154,305.3,2024-01-02,741,D,2
30.3863,49.8812,303.3,2024-01-02,742,D,2
30.3828,49.8749,305.4,2024-01-02,742,D,2
30.9971,48.1505,300.9,2024-01-02,742,D,2
30.9982,48.1455,305.0,2024-01-02,742,D,2
30.9901,48.0413,301.5,2024-01-02,742,D,2
30.717,49.8247,308.2,2024-01-02,742,D,2
30.8997,49.6699,303.7,2024-01-02,742,D,2
31.271,48.1109,308.8,2024-01-02,742,D,2
31.0344,49.3835,312.4,2024-01-02,1042,D,2
30.4739,50.4752,305.6,2024-01-02,1042,D,2
30.3894,49.8542,320.4,2024-01-02,1042,D,2
30.3896,49.861,319.1,2024-01-02,1042,D,2
30.3948,50.6078,316.9,2024-01-02,1042,D,2
