latitude,longitude,brightness,acq_date,acq_time,daynight,type
9.6401,-63.579,325.7,2024-01-01,127,N,2
9.6166,-63.7155,320.7,2024-01-01,127,N,2
9.6105,-63.7503,312.7,2024-01-01,127,N,2
9.6563,-63.5813,308.0,2024-01-01,127,N,2
9.6504,-63.6157,323.5,2024-01-01,127,N,2
8.5658,-63.5748,310.0,2024-01-01,127,N,0
8.572,-63.5395,307.0,2024-01-01,127,N,0
8.5597,-63.5689,315.2,2024-01-01,127,N,0
8.5657,-63.5336,304.4,2024-01-01,127,N,0
8.9087,-63.2248,303.4,2024-01-01,127,N,0
9.6446,-63.6499,315.3,2024-01-01,127,N,2
9.6576,-63.6218,325.3,2024-01-01,127,N,2
9.6515,-63.6561,308.6,2024-01-01,127,N,2
9.646,-63.5451,314.0,2024-01-01,127,N,2
9.5566,-63.6273,301.8,2024-01-01,127,N,2
9.5637,-63.6353,304.1,2024-01-01,127,N,2
10.0483,-64.9054,302.7,2024-01-01,128,N,2
10.0554,-64.8595,310.3,2024-01-01,128,N,2
10.0557,-64.8638,311.3,2024-01-01,128,N,2
9.7419,-63.4758,302.6,2024-01-01,543,N,2
9.6548,-63.6251,314.7,2024-01-01,543,N,2
9.6508,-63.5924,303.1,2024-01-01,543,N,2
9.6347,-63.7274,304.0,2024-01-01,543,N,2
9.6187,-63.7296,310.1,2024-01-01,543,N,2
9.6147,-63.6964,305.0,2024-01-01,543,N,2
9.6252,-63.7337,309.5,2024-01-01,543,N,2
9.621,-63.7006,309.5,2024-01-01,543,N,2
9.662,-63.6164,322.0,2024-01-01,543,N,2
9.7379,-63.4437,307.4,2024-01-01,543,N,2
9.737,-63.4715,307.4,2024-01-01,543,N,2
9.7332,-63.4394,306.6,2024-01-01,543,N,2
9.9831,-72.5688,309.9,2024-01-01,721,N,0
4.9097,-66.3714,320.8,2024-01-01,1807,D,0
6.8984,-63.5804,325.2,2024-01-01,1808,D,0
6.8997,-63.5715,336.1,2024-01-01,1808,D,0
6.8145,-63.6435,328.1,2024-01-01,1808,D,0
6.8158,-63.6345,329.5,2024-01-01,1808,D,0
6.8171,-63.6256,333.1,2024-01-01,1808,D,0
6.8043,-63.6511,329.2,2024-01-01,1808,D,0
6.8383,-63.356,321.4,2024-01-01,1808,D,0
6.8396,-63.3471,324.4,2024-01-01,1808,D,0
6.2033,-67.3027,327.3,2024-01-01,1808,D,0
6.1101,-67.3789,318.0,2024-01-01,1808,D,0
6.0838,-63.1535,315.2,2024-01-01,1808,D,0
6.0299,-62.8221,315.2,2024-01-01,1808,D,0
8.5119,-67.3399,327.1,2024-01-01,1808,D,0
8.5467,-66.9114,326.1,2024-01-01,1808,D,0
9.1521,-62.3897,323.3,2024-01-01,1808,D,0
9.1537,-62.3134,332.7,2024-01-01,1808,D,0
9.0543,-62.8833,327.7,2024-01-01,1808,D,0
7.3319,-66.6838,318.2,2024-01-01,1808,D,0
7.2741,-67.1364,319.1,2024-01-01,1808,D,0
7.2715,-67.1296,319.2,2024-01-01,1808,D,0
7.7459,-64.3387,313.8,2024-01-01,1808,D,0
7.7446,-64.3478,312.8,2024-01-01,1808,D,0
7.4888,-66.0595,322.9,2024-01-01,1808,D,0
7.3684,-67.0551,317.5,2024-01-01,1808,D,0
7.3929,-67.0772,323.4,2024-01-01,1808,D,0
7.3909,-67.0896,348.4,2024-01-01,1808,D,0
7.4995,-66.5908,318.8,2024-01-01,1808,D,0
7.4978,-66.6023,328.9,2024-01-01,1808,D,0
7.424,-67.0821,323.0,2024-01-01,1808,D,0
